83"Yah Yah (feat. Royce Da 5'9""   Black Thought    Q-Tip & Denaun)"  Eminem
"Panic! At The Disco" ----  1 times 
"James Arthur" ----  1 times 
Lauv ----  2 times 
XXXTENTACION ----  3 times 
Kygo ----  1 times 
Juju ----  1 times 
"Dean Lewis" ----  1 times 
"Selena Gomez" ----  3 times 
"Maroon 5" ----  2 times 
"Lil Tecca" ----  1 times 
"Lil Baby" ----  2 times 
"Conan Gray" ----  1 times 
"J. Cole" ----  1 times 
 Pt. II" ----  1 times 
 Tu x Mi" ----  1 times 
Regard ----  1 times 
"Imagine Dragons" ----  1 times 
"Dimelo Flow" ----  1 times 
"Lil Nas X" ----  1 times 
Future ----  1 times 
"Tones and I" ----  2 times 
Mustard ----  1 times 
Drake ----  1 times 
